step,temp/denormalized_mae,temp/denormalized_mse,temp/denormalized_r2,temp/denormalized_rmse,temp/mae,temp/mse,temp/psnr,temp/rmse,temp/ssim
5513,0.8010706901550293,10.026168823242188,0.7276703119277954,2.7419593334198,0.0199969261884689,0.0042231096886098,23.73885726928711,0.0647999346256256,0.8902791142463684
11027,0.7001386284828186,8.263819694519043,0.7764418721199036,2.4853851795196533,0.0175551380962133,0.0035463348031044,24.497615814208984,0.0593803860247135,0.916248857975006
16541,0.6840466260910034,6.927757740020752,0.8076385259628296,2.291125059127808,0.016913903877139,0.0030900260899215,25.09600257873535,0.055427961051464,0.9309946298599244
22055,0.6368134617805481,6.840576648712158,0.8102066516876221,2.264336109161377,0.0157146174460649,0.0027768968138843,25.56123733520508,0.0525409914553165,0.9342615008354188
27569,0.654394805431366,5.957556247711182,0.8301393389701843,2.1314287185668945,0.0154703361913561,0.0024917551781982,26.03095054626465,0.0497726649045944,0.9415069818496704
33083,0.5974486470222473,5.080643653869629,0.85377037525177,1.9666645526885984,0.0145756071433424,0.0022546860855072,26.464868545532227,0.0473464801907539,0.9454553723335266
38597,0.5611040592193604,4.976473331451416,0.8554669618606567,1.942866325378418,0.0136705562472343,0.0020517569500952,26.87480735778809,0.0451647117733955,0.9471561908721924
44111,0.5197530388832092,4.195875644683838,0.8754825592041016,1.792635440826416,0.0129528595134615,0.0018838910618796,27.244253158569336,0.0432807207107543,0.948966383934021
49625,0.5315113663673401,4.325034141540527,0.8714744448661804,1.8174240589141848,0.0126369735226035,0.0017222965834662,27.634923934936523,0.0413801111280918,0.9491613507270812
55139,0.5047460794448853,3.977183103561402,0.8806154131889343,1.7464479207992554,0.0120346825569868,0.0015770242316648,28.017343521118164,0.0395971052348613,0.9495264291763306
60653,0.5006881952285767,3.921868562698364,0.8820071220397949,1.7347400188446045,0.0115714557468891,0.0014690916286781,28.32627296447754,0.0382158532738685,0.9501278400421144
66167,0.4901420772075653,3.29082989692688,0.8986979126930237,1.6038703918457031,0.0112885823473334,0.0013453138526529,28.705814361572266,0.0365760400891304,0.9566447138786316
71681,0.4642999172210693,3.196306705474853,0.9016770720481871,1.575817346572876,0.0108720352873206,0.0012566845398396,29.00333404541016,0.0353476032614707,0.9534067511558532
77195,0.454961895942688,3.0186028480529785,0.9058107137680054,1.5372713804244995,0.0102957105264067,0.0011642416939139,29.334592819213867,0.0340237542986869,0.9591073393821716
82709,0.4449825882911682,2.8908703327178955,0.9086174368858336,1.5063118934631348,0.0101851737126708,0.0010960884392261,29.59685707092285,0.0330123417079448,0.959011435508728
88223,0.4316444396972656,2.7222096920013428,0.914076030254364,1.4611454010009766,0.0097051439806818,0.0010408569360151,29.821874618530277,0.0321689657866954,0.9598008394241332
93737,0.4265957474708557,2.548495292663574,0.9186795949935912,1.4197511672973633,0.00987477786839,0.001001734053716,29.98776626586914,0.031559482216835,0.9583626985549928
99251,0.4335482716560364,2.6543447971343994,0.9150275588035583,1.4466205835342407,0.0098283840343356,0.0009645067038945,30.15396881103516,0.0309644788503646,0.957835853099823
104765,0.4167415499687195,2.4629907608032227,0.9209843277931212,1.3952655792236328,0.0092318430542945,0.0009329172899015,30.298194885253903,0.0304538514465093,0.9626333713531494
110279,0.421938419342041,2.5914299488067627,0.9169753193855286,1.4297021627426147,0.0093933558091521,0.0009144629002548,30.38616180419922,0.0301490947604179,0.959680438041687
115793,0.412345826625824,2.364018678665161,0.9238719940185548,1.368633270263672,0.0091835549101233,0.0008882409310899,30.51116371154785,0.0297159533947706,0.9624902606010436
121307,0.4066002070903778,2.3313310146331787,0.9249522089958192,1.358088135719299,0.0092347348108887,0.0008711598929949,30.59588623046875,0.0294281784445047,0.960149109363556
126821,0.4075889587402344,2.3356800079345703,0.92446368932724,1.3591254949569702,0.0091124773025512,0.0008590591023676,30.656909942626957,0.0292226243764162,0.9615045189857484
132335,0.4030905961990356,2.3171443939208984,0.92535001039505,1.3541377782821655,0.0087105073034763,0.0008467009756714,30.719667434692383,0.0290119443088769,0.9644697308540344
137849,0.4038089513778686,2.3303589820861816,0.924649178981781,1.3581641912460327,0.0088858110830187,0.0008409463916905,30.74961280822754,0.028912641108036,0.9633962512016296
143363,0.4020830988883972,2.304036855697632,0.925447404384613,1.350678563117981,0.0086814584210515,0.0008347374969162,30.781700134277344,0.0288058649748563,0.964769721031189
148877,0.401567131280899,2.2792766094207764,0.9260562658309937,1.3431720733642578,0.0087311146780848,0.0008314116857945,30.79912757873535,0.028748283162713,0.964878797531128
154391,0.400446355342865,2.2801074981689453,0.9262313842773438,1.3436517715454102,0.0086731584742665,0.0008291434496641,30.810914993286133,0.028709165751934,0.965043306350708
159905,0.3997721672058105,2.254678249359131,0.9269907474517822,1.3359637260437012,0.008646429516375,0.0008282311609946,30.815570831298828,0.0286935660988092,0.965067446231842
165419,0.4000411331653595,2.276613473892212,0.9262667894363404,1.34218168258667,0.0086522568017244,0.0008274322026409,30.819963455200195,0.028679396957159,0.964935541152954
